eval_dataset,cmmn_filter,feature_extractor,classifier_type,is_normalized,validation_segment_len,prediction_window,mean_f1,std_f1
cue,unnormed-barycenter,psd_autocorr,random_forest,False,300.0,3.0,0.7866610391399136,0.11984526381512425
cue,unnormed-barycenter,psd_autocorr,random_forest,False,300.0,4.0,0.7755540780885858,0.12396472924262072
cue,unnormed-barycenter,psd_autocorr,random_forest,False,300.0,5.0,0.7830334141973513,0.1225756224581834
cue,unnormed-barycenter,psd_autocorr,random_forest,False,300.0,10.0,0.8004734802992313,0.10637060818726941
cue,unnormed-barycenter,psd_autocorr,random_forest,False,300.0,15.0,0.8211757401253766,0.1059701531490358
cue,unnormed-barycenter,psd_autocorr,random_forest,False,300.0,20.0,0.8290362083219792,0.11138790540242982
cue,unnormed-barycenter,psd_autocorr,random_forest,False,300.0,25.0,0.8288119700703088,0.10817247851826206
cue,unnormed-barycenter,psd_autocorr,random_forest,False,300.0,30.0,0.8332864137159491,0.10950997605905823
cue,unnormed-barycenter,psd_autocorr,random_forest,False,300.0,35.0,0.8277177537852177,0.11243375121853404
cue,unnormed-barycenter,psd_autocorr,random_forest,False,300.0,40.0,0.8209513869253765,0.123285881815022
cue,unnormed-barycenter,psd_autocorr,random_forest,False,300.0,45.0,0.8209333502867461,0.12127392591566578
cue,unnormed-barycenter,psd_autocorr,random_forest,False,300.0,50.0,0.8276481333529607,0.11164248113044929
cue,unnormed-barycenter,bowav,logistic,False,-1.0,5.0,0.766369627244701,0.08410860660297527
cue,unnormed-barycenter,bowav,logistic,False,-1.0,10.0,0.8345671802193516,0.07066640262586009
cue,unnormed-barycenter,bowav,logistic,False,-1.0,15.0,0.8565099267759217,0.07271570246287747
cue,unnormed-barycenter,bowav,logistic,False,-1.0,20.0,0.8436214317456562,0.0744058103645012
cue,unnormed-barycenter,bowav,logistic,False,-1.0,25.0,0.8491679943658621,0.07417122543014076
cue,unnormed-barycenter,bowav,logistic,False,-1.0,30.0,0.8523327591563427,0.06652918204421725
cue,unnormed-barycenter,bowav,logistic,False,-1.0,35.0,0.8510420869922785,0.06708552586023406
cue,unnormed-barycenter,bowav,logistic,False,-1.0,40.0,0.8600098645051119,0.06914338064212891
cue,unnormed-barycenter,bowav,logistic,False,-1.0,45.0,0.8599456906798371,0.06393177305320662
cue,unnormed-barycenter,bowav,logistic,False,-1.0,50.0,0.859510418443053,0.06872062934898573
cue,unnormed-barycenter,bowav,logistic,False,300.0,0.15,0.7677967402428156,0.08335042382835038
cue,unnormed-barycenter,bowav,logistic,False,300.0,0.325,0.7606670441965218,0.10645341770297632
cue,unnormed-barycenter,bowav,logistic,False,300.0,0.5,0.7551909703018267,0.12543589474980033
cue,unnormed-barycenter,bowav,logistic,False,300.0,0.65,0.7717249518393038,0.09703598929949467
cue,unnormed-barycenter,bowav,logistic,False,300.0,0.825,0.7780158615293216,0.09009416577827725
cue,unnormed-barycenter,bowav,logistic,False,300.0,1.0,0.7872151800164366,0.0768100610693657
cue,unnormed-barycenter,bowav,logistic,False,300.0,2.0,0.8117796075613413,0.07745584828216473
cue,unnormed-barycenter,bowav,logistic,False,300.0,3.0,0.8259054007165898,0.07285622207894593
cue,unnormed-barycenter,bowav,logistic,False,300.0,4.0,0.8384922607472517,0.055617449537055365
cue,unnormed-barycenter,bowav,logistic,False,300.0,5.0,0.847994829378054,0.04055911170393352
cue,unnormed-barycenter,bowav,logistic,False,300.0,10.0,0.8528190040721634,0.05412775946994795
cue,unnormed-barycenter,bowav,logistic,False,300.0,15.0,0.849561742054278,0.0730070426690225
cue,unnormed-barycenter,bowav,logistic,False,300.0,20.0,0.852194053241487,0.07410774228604933
cue,unnormed-barycenter,bowav,logistic,False,300.0,25.0,0.8513968503534332,0.07900916536841601
cue,unnormed-barycenter,bowav,logistic,False,300.0,30.0,0.8575051157638153,0.07771074949890043
cue,unnormed-barycenter,bowav,logistic,False,300.0,35.0,0.863809306266337,0.08180783627912858
cue,unnormed-barycenter,bowav,logistic,False,300.0,40.0,0.8600241651588109,0.07591295197524442
cue,unnormed-barycenter,bowav,logistic,False,300.0,45.0,0.8567430604506998,0.08046228676416012
cue,unnormed-barycenter,bowav,logistic,False,300.0,50.0,0.8554323123159953,0.07959880017335341
cue,unnormed-barycenter,psd_autocorr,logistic,False,-1.0,2.0,0.4912549145062219,0.22796694692391956
cue,unnormed-barycenter,psd_autocorr,logistic,False,-1.0,3.0,0.4912549145062219,0.22796694692391956
cue,unnormed-barycenter,psd_autocorr,logistic,False,-1.0,4.0,0.5927363355339546,0.2026551238374749
cue,unnormed-barycenter,psd_autocorr,logistic,False,-1.0,5.0,0.5927363355339546,0.19820062110932493
cue,unnormed-barycenter,psd_autocorr,logistic,False,-1.0,10.0,0.5958541055718475,0.19823932523163262
cue,unnormed-barycenter,psd_autocorr,logistic,False,-1.0,15.0,0.6088526342552208,0.21051716571643475
cue,unnormed-barycenter,psd_autocorr,logistic,False,-1.0,20.0,0.64679528603889,0.21044690352638107
cue,unnormed-barycenter,psd_autocorr,logistic,False,-1.0,25.0,0.652842572086176,0.20227720573918556
cue,unnormed-barycenter,psd_autocorr,logistic,False,-1.0,30.0,0.6511622539051655,0.1986320742516588
cue,unnormed-barycenter,psd_autocorr,logistic,False,-1.0,35.0,0.6569085672227568,0.19620724019798344
cue,unnormed-barycenter,psd_autocorr,logistic,False,-1.0,40.0,0.6592357315436008,0.203757564970355
cue,unnormed-barycenter,psd_autocorr,logistic,False,-1.0,45.0,0.6552498232558926,0.2066939932785732
cue,unnormed-barycenter,psd_autocorr,logistic,False,-1.0,50.0,0.6569505035280016,0.2096678564537095
cue,unnormed-barycenter,psd_autocorr,logistic,False,300.0,0.15,0.3465639956176066,0.26406665975991506
cue,unnormed-barycenter,psd_autocorr,logistic,False,300.0,0.325,0.4058037452280256,0.20304450955610684
cue,unnormed-barycenter,psd_autocorr,logistic,False,300.0,0.5,0.4197783424603125,0.25040046968462815
cue,unnormed-barycenter,psd_autocorr,logistic,False,300.0,0.65,0.41869537180096184,0.25871076502445634
cue,unnormed-barycenter,psd_autocorr,logistic,False,300.0,0.825,0.4536906027215853,0.22577893033816704
cue,unnormed-barycenter,psd_autocorr,logistic,False,300.0,1.0,0.46232808275264087,0.22830219622235073
cue,unnormed-barycenter,psd_autocorr,logistic,False,300.0,2.0,0.4912549145062219,0.22796694692391956
cue,unnormed-barycenter,psd_autocorr,logistic,False,300.0,3.0,0.5050317643742971,0.23251316097607833
cue,unnormed-barycenter,psd_autocorr,logistic,False,300.0,4.0,0.5258421277786455,0.22450653092633743
cue,unnormed-barycenter,psd_autocorr,logistic,False,300.0,5.0,0.5447898411019529,0.2203701317008645
cue,unnormed-barycenter,psd_autocorr,logistic,False,300.0,10.0,0.5784241462245949,0.20361044137068748
cue,unnormed-barycenter,psd_autocorr,logistic,False,300.0,15.0,0.6010133516974057,0.20112808974574256
cue,unnormed-barycenter,psd_autocorr,logistic,False,300.0,20.0,0.6021141467003096,0.2061076896198843
cue,unnormed-barycenter,psd_autocorr,logistic,False,300.0,25.0,0.6123155761999848,0.20679596539234218
cue,unnormed-barycenter,psd_autocorr,logistic,False,300.0,30.0,0.6431659683464076,0.1899789696184078
cue,unnormed-barycenter,psd_autocorr,logistic,False,300.0,35.0,0.6369794855006699,0.19403711986335193
cue,unnormed-barycenter,psd_autocorr,logistic,False,300.0,40.0,0.6427611698943253,0.19822671124174437
cue,unnormed-barycenter,psd_autocorr,logistic,False,300.0,45.0,0.6285233808753299,0.20515755940424857
cue,unnormed-barycenter,psd_autocorr,logistic,False,300.0,50.0,0.6386282561587766,0.2001204963647287
cue,subj_to_subj,bowav,random_forest,False,-1.0,5.0,0.8846117451075384,0.059070697730977166
cue,subj_to_subj,bowav,random_forest,False,-1.0,10.0,0.9040982205587618,0.05371393173799339
cue,subj_to_subj,bowav,random_forest,False,-1.0,15.0,0.9087837706603268,0.06595047636412538
cue,subj_to_subj,bowav,random_forest,False,-1.0,20.0,0.8915676131968246,0.08700650808549468
cue,subj_to_subj,bowav,random_forest,False,-1.0,25.0,0.8958965456519369,0.08828056436368775
cue,subj_to_subj,bowav,random_forest,False,-1.0,30.0,0.8957787491904359,0.08591766392493942
cue,subj_to_subj,bowav,random_forest,False,-1.0,35.0,0.8994594247828228,0.08662906939598852
cue,subj_to_subj,bowav,random_forest,False,-1.0,40.0,0.9033839132808139,0.08724772233048603
cue,subj_to_subj,bowav,random_forest,False,-1.0,45.0,0.900761072422679,0.08756163258475899
cue,subj_to_subj,bowav,random_forest,False,-1.0,50.0,0.9020051306520314,0.08747866780608521
cue,subj_to_subj,bowav,random_forest,False,300.0,0.15,0.8257495841936059,0.07816837846269395
cue,subj_to_subj,bowav,random_forest,False,300.0,0.325,0.86667083876323,0.06341765792093222
cue,subj_to_subj,bowav,random_forest,False,300.0,0.5,0.8662584035891411,0.06999105293793474
cue,subj_to_subj,bowav,random_forest,False,300.0,0.65,0.8668898582097908,0.0736715651694882
